"Adv Number","Property Address","Assessed Value","Face Amount","Winning Bid","Winning Bidder Name","Winning Premium","Winning Amount Due"
1,"**ES BRUCE ST 110 FT N OF LAURENS ST",1000.00,517.36,517.36,City,,
5,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",2100.00,1740.10,1740.10,City,,
7,"**ES ENGLISH CONSUL AVE 549 FT N OF CHAHULL AVE",19067.00,883.28,883.28,City,,
12,"**ES KENILWORTH AV 507-2 FT N OF E 43RD ST",5500.00,29243.56,29243.56,City,,
14,"**ES N EDEN ST NEC TENPIN ALLEY",0.00,1921.43,1921.43,City,,
15,"**ES N FOREST PARK AVE 372'6 NE CARMINE AVE",16400.00,514.04,514.04,City,,
20,"**ES PUGET ST SEC HARMAN AV",9600.00,4514.33,4514.33,City,,
21,"**ES S CULVER ST 360 FT S OF ST. JOSEPH ST",5000.00,1532.27,1532.27,City,,
25,"**ES S WASHINGTON ST 44'8 N ALICEANNA S0000",0.00,2321.76,2321.76,City,,
28,"**ES 10 FT ALLEY 1ST E OF HILTON ST REAR 219-59 S HI",48400.00,12503.44,12503.44,City,,
31,"**ES 12 FT ALLEY 1ST E OF READY AVE 142-1 FT S OF HA",800.00,12255.34,12255.34,City,,
32,"**ES 12 FT ALLEY 1ST E OF READY AVE 97-5 FT S OF HAR",800.00,8636.76,8636.76,City,,
34,"**ES 15 FT ALLEY 1ST E OF TOLNA ST REAR 505 TOLNA ST",4500.00,6096.88,6096.88,City,,
40,"**ES 20 FT ALLEY 1ST E OF N SMALLWOOD ST REAR 1715 N",3000.00,6759.51,6759.51,City,,
41,"**ES 20 FT ALLEY 1ST W OF GWYNN OAK AV REAR 3602 GWY",44967.00,2397.88,2397.88,372,0.00,2397.88
42,"**ES 22 FT ALLEY 1ST E OF WELBOURNE RD 41-8 FT N OF",2000.00,850.36,850.36,City,,
44,"**HILL ST CIRCLE S END OF WINDER ST",26700.00,804.62,804.62,46,0.00,804.62
47,"**NES ARMSTRONG AV NEC RIDGE AV",2700.00,5965.15,5965.15,City,,
48,"**NES ARMSTRONG AV 175 FT N OF RIDGE AV",4300.00,8558.09,8558.09,City,,
49,"**NES ARMSTRONG AV 200 FT N OF RIDGE AV",4000.00,8000.22,8000.22,City,,
