"Adv Number","Property Address","Assessed Value","Face Amount","Winning Bid","Winning Bidder Name","Winning Premium","Winning Amount Due"
1,"**ES BRUCE ST 110 FT N OF LAURENS ST",1000.00,517.36,517.36,City,,
2,"**ES CLARKDALE RD 245 FT S OF GORDON RD",13700.00,437.92,506.00,148,0.00,437.92
3,"**ES CLARKDALE RD 295 FT S OF GORDON RD",15300.00,483.08,602.43,148,0.00,483.08
5,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",2100.00,1740.10,1740.10,City,,
6,"**ES ENGLISH CONSUL AVE 499 FT N OF CHAHULL AVE",20533.00,947.00,947.00,455,0.00,947.00
7,"**ES ENGLISH CONSUL AVE 549 FT N OF CHAHULL AVE",19067.00,883.28,883.28,City,,
8,"**ES EUNICE AVE 521-8 FT N OF GLENMORE AVE",14700.00,466.12,500.00,424,0.00,466.12
9,"**ES HOLLINS FERRY RD 182 FT N OF SEVERN ST",5400.00,334.03,334.03,City,,
10,"**ES HURON ST 116-8 FT N OF SOUTHDENE AV",65600.00,1739.48,1739.48,City,,
11,"**ES KENILWORTH AV 192-5 FT N OF E 43RD ST",6700.00,420.44,420.44,City,,
12,"**ES KENILWORTH AV 507-2 FT N OF E 43RD ST",5500.00,29243.56,29243.56,City,,
13,"**ES LEVIN RD 202 FT S OF RIVERSIDE RD",6500.00,287.38,287.38,City,,
14,"**ES N EDEN ST NEC TENPIN ALLEY",0.00,1921.43,1921.43,City,,
15,"**ES N FOREST PARK AVE 372'6 NE CARMINE AVE",16400.00,514.04,514.04,City,,
16,"**ES N FULTON AV 110 FT S OF LAURENS ST",26900.00,454.51,454.51,City,,
17,"**ES NORTHERN CENTRAL RR R/W 672-9 FT N OF UNION AV",139700.00,16958.77,16958.77,City,,
19,"**ES PIMLICO RD 99-3 N-ROSALIND AVE",1900.00,5509.87,5509.87,City,,
20,"**ES PUGET ST SEC HARMAN AV",9600.00,4514.33,4514.33,City,,
21,"**ES S CULVER ST 360 FT S OF ST. JOSEPH ST",5000.00,1532.27,1532.27,City,,
22,"**ES S DEAN ST 80'8 S BANK ST",85500.00,1882.36,36001.00,372,360.00,2242.36
24,"**ES S MOUNT ST NEC W PRATT ST",93800.00,2452.39,2452.39,City,,
25,"**ES S WASHINGTON ST 44'8 N ALICEANNA S0000",0.00,2321.76,2321.76,City,,
26,"**ES 10 FT ALLEY 1ST E OF BENTALOU ST 110 FT N OF CL",1000.00,501.18,501.18,City,,
27,"**ES 10 FT ALLEY 1ST E OF FULTON AV REAR 2115-25 N F",25300.00,698.09,698.09,City,,
28,"**ES 10 FT ALLEY 1ST E OF HILTON ST REAR 219-59 S HI",48400.00,12503.44,12503.44,City,,
29,"**ES 10 FT ALLEY 1ST W OF HICKORY AVE REAR 3740 HICK",2000.00,298.74,298.74,City,,
30,"**ES 12 FT ALLEY 1ST E OF GREENMOUNT AV REAR 500-04",46300.00,1246.26,1246.26,City,,
31,"**ES 12 FT ALLEY 1ST E OF READY AVE 142-1 FT S OF HA",800.00,12255.34,12255.34,City,,
32,"**ES 12 FT ALLEY 1ST E OF READY AVE 97-5 FT S OF HAR",800.00,8636.76,8636.76,City,,
33,"**ES 15 FT ALLEY 1ST E OF ALLENDALE ST 95 FT S HARLE",2600.00,272.33,272.33,City,,
34,"**ES 15 FT ALLEY 1ST E OF TOLNA ST REAR 505 TOLNA ST",4500.00,6096.88,6096.88,City,,
35,"**ES 15 FT ALLEY 1ST E OF TOLNA ST REAR 509 TOLNA ST",4700.00,283.68,283.68,City,,
36,"**ES 15 FT ALLEY 1ST E OF TOLNA ST REAR 511 TOLNA ST",4700.00,283.68,283.68,City,,
37,"**ES 20 FT ALLEY 1ST E OF CHELSEA TER REAR 3015 CHEL",1400.00,1241.21,1241.21,City,,
