area,type,num_properties,perc_properties_area,num_advertised,sum_lien_amount,median_lien_amount,median_assessed_value,num_vacant,num_vacant_lot,num_owner_occupied,num_owner_occupied_not_vacant,perc_vacant,perc_owner_occupied_not_vacant,perc_vacant_lot,auction_year
Allendale/Irvington/S. Hilton,csa,6345,12.29,780,19943872.73,2145.94,68150,178,106,194,182,22.82,23.33,13.59,2021
Beechfield/Ten Hills/West Hills,csa,3803,4.52,172,1025151.15,2547.245,109600,8,29,75,74,4.65,43.02,16.86,2021
Belair-Edison,csa,6615,7.98,528,4332603.1,2093.54,81000,92,22,121,118,17.42,22.35,4.17,2021
Brooklyn/Curtis Bay/Hawkins Point,csa,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Canton,csa,4207,3.07,129,518109.73,3192.24,236500,4,6,48,47,3.1,36.43,4.65,2021
Cedonia/Frankford,csa,6758,5.02,339,4440454.5,2468.78,113367,27,39,109,107,7.96,31.56,11.5,2021
Cherry Hill,csa,1097,12.49,137,2106913.57,1871.56,36000,37,7,37,31,27.01,22.63,5.11,2021
Chinquapin Park/Belvedere,csa,2882,5.27,152,1340631.81,2363.25,114633.5,16,12,78,78,10.53,51.32,7.89,2021
Claremont/Armistead,csa,1765,3,53,350180.05,2051.08,115800,1,11,15,15,1.89,28.3,20.75,2021
Clifton-Berea,csa,5471,18.41,1007,30863925.56,2487.46,12333,370,165,94,89,36.74,8.84,16.39,2021
Cross-Country/Cheswolde,csa,2948,3.02,89,841638.4199999999,2280,139500,0,11,49,49,0,55.06,12.36,2021
Dickeyville/Franklintown,csa,541,9.98,54,657507.47,3799.0150000000003,8600,3,37,7,6,5.56,11.11,68.52,2021
Dorchester/Ashburton,csa,3806,10.22,389,8916134.32,3305.6,136100,54,46,136,132,13.88,33.93,11.83,2021
Downtown/Seton Hill,csa,2187,15.04,329,4765427.27,884.43,139367,14,8,6,5,4.26,1.52,2.43,2021
Edmondson Village,csa,3134,10.11,317,3818826.53,2327.03,91400,58,23,107,104,18.3,32.81,7.26,2021
Fells Point,csa,4671,4.71,220,1591079.8900000001,2954.025,212800,15,7,42,41,6.82,18.64,3.18,2021
Forest Park/Walbrook,csa,3136,13.04,409,14605721.08,3248.14,114000,77,68,103,102,18.83,24.94,16.63,2021
Glen-Fallstaff,csa,4260,7.23,308,3152119.68,2764.3900000000003,115317,20,47,106,106,6.49,34.42,15.26,2021
Greater Charles Village/Barclay,csa,4711,9.74,459,2464080.37,1803.49,155000,56,9,71,68,12.2,14.81,1.96,2021
Greater Govans,csa,4175,9.7,405,8680485.62,2306.1,77933,71,48,106,105,17.53,25.93,11.85,2021
Greater Mondawmin,csa,3838,15.84,608,20637282.01,2324.29,24300,216,69,115,113,35.53,18.59,11.35,2021
Greater Roland Park/Poplar Hill,csa,3321,1.57,52,392854.25,3400.075,240350,2,6,24,24,3.85,46.15,11.54,2021
Greater Rosemont,csa,8134,16.23,1320,63953354.61,1685.9,19000,528,151,181,170,40,12.88,11.44,2021
Greenmount East,csa,5639,15.38,867,43456841.47,3790.4,8333,327,219,64,56,37.72,6.46,25.26,2021
Hamilton,csa,4688,4.2,197,2356354.21,2821.29,131200,15,16,76,75,7.61,38.07,8.12,2021
Harbor East/Little Italy,csa,2452,5.06,124,1058614.44,3368.1850000000004,204300,8,17,10,10,6.45,8.06,13.71,2021
Harford/Echodale,csa,5475,3.54,194,1338441.97,2848.45,137633.5,16,18,72,71,8.25,36.6,9.28,2021
Highlandtown,csa,3671,5.48,201,1281137.04,2616,133433,20,6,30,29,9.95,14.43,2.99,2021
Howard Park/West Arlington,csa,3473,8.67,301,4412241.05,3123.68,134733,28,35,117,116,9.3,38.54,11.63,2021
Inner Harbor/Federal Hill,csa,7604,3.35,255,3131889.25,4296.21,260400,9,14,67,67,3.53,26.27,5.49,2021
Lauraville,csa,4783,4.81,230,2690572.5,2601.675,126983.5,22,24,82,80,9.57,34.78,10.43,2021
Loch Raven,csa,4359,3.56,155,521734.07,2762.2,120533,8,1,92,90,5.16,58.06,0.65,2021
Madison/East End,csa,3642,15.4,561,7861162.05,1092.25,26333,249,43,40,38,44.39,6.77,7.66,2021
Medfield/Hampden/Woodberry/Remington,csa,7999,4.13,330,3544638.68,2559.045,150767,18,58,115,112,5.45,33.94,17.58,2021
Midtown,csa,4541,8.96,407,3050904.86,1290.4,238767,8,7,50,50,1.97,12.29,1.72,2021
Midway/Coldstream,csa,4715,15.95,752,25203698.89,1557.4,13667,294,93,74,69,39.1,9.18,12.37,2021
Morrell Park/Violetville,csa,3817,6.24,238,5460276.35,1927.425,50100,30,39,63,61,12.61,25.63,16.39,2021
Mount Washington/Coldspring,csa,2314,1.99,46,722190,3628.61,188750,0,11,22,22,0,47.83,23.91,2021
North Baltimore/Guilford/Homeland,csa,5822,2.4,140,1226275.4,4350.49,216483.5,6,13,57,57,4.29,40.71,9.29,2021
Northwood,csa,4826,5.18,250,1033900.63,2734.99,123550,12,3,156,155,4.8,62,1.2,2021
Oldtown/Middle East,csa,2746,6.59,181,3440237.52,1637.57,58267,36,31,26,25,19.89,13.81,17.13,2021
Orangeville/East Highlandtown,csa,4834,8.19,396,3855849.4899999998,1955.87,89916.5,19,91,86,84,4.8,21.21,22.98,2021
Patterson Park North & East,csa,6656,6.81,453,2475740.14,2340.62,96733,101,2,73,72,22.3,15.89,0.44,2021
Penn North/Reservoir Hill,csa,3311,16.31,540,23287171.47,2495.1549999999997,71833.5,186,38,73,69,34.44,12.78,7.04,2021
Pimlico/Arlington/Hilltop,csa,4515,12.96,585,8091962.99,1621.14,27000,187,23,108,102,31.97,17.44,3.93,2021
Poppleton/The Terraces/Hollins Market,csa,2171,8.52,185,2711099.98,1510,67000,41,26,20,16,22.16,8.65,14.05,2021
Sandtown-Winchester/Harlem Park,csa,7615,17.91,1364,87755827.24,2873.935,7000,556,356,106,81,40.76,5.94,26.1,2021
Southeastern,csa,2491,6.38,159,3432233.13,2673.93,98200,11,18,34,33,6.92,20.75,11.32,2021
Southern Park Heights,csa,5012,11.63,583,13278575.01,1283.52,20667,221,30,78,74,37.91,12.69,5.15,2021
Southwest Baltimore,csa,9685,22.39,2168,110835854.57,3064.98,10200,905,440,157,124,41.74,5.72,20.3,2021
The Waverlies,csa,2992,9.93,297,7016954.02,2455.02,90633,55,43,77,75,18.52,25.25,14.48,2021
Unknown,csa,9349,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Upton/Druid Heights,csa,3494,12.28,429,9783847.86,1532.78,26667,164,62,26,25,38.23,5.83,14.45,2021
Washington Village/Pigtown,csa,3169,8.43,267,3639152.97,2536.76,94700,52,17,44,40,19.48,14.98,6.37,2021
Westport/Mount Winans/Lakeland,csa,2610,10,261,5200567.63,1551.53,46100,63,32,40,39,24.14,14.94,12.26,2021
