area,type,num_properties,perc_properties_area,num_advertised,sum_lien_amount,median_lien_amount,median_assessed_value,num_vacant,num_vacant_lot,num_owner_occupied,num_owner_occupied_not_vacant,perc_vacant,perc_owner_occupied_not_vacant,perc_vacant_lot,auction_year
Abell,neighborhood,457,10.07,46,244974.69,2986.5699999999997,164650,6,0,10,9,13.04,19.57,0,2021
Allendale,neighborhood,1353,13.08,177,4402078.22,2045.34,73400,40,16,59,56,22.6,31.64,9.04,2021
Arcadia,neighborhood,468,3.63,17,254186.07,2389.12,91100,3,1,6,6,17.65,35.29,5.88,2021
Arlington,neighborhood,991,14.63,145,2426293.98,1767.66,17000,50,7,23,20,34.48,13.79,4.83,2021
Armistead Gardens,neighborhood,701,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Ashburton,neighborhood,996,6.63,66,556940.48,3709.45,164816.5,2,3,34,34,3.03,51.52,4.55,2021
Baltimore Highlands,neighborhood,1063,9.6,102,585285.59,2005.02,75433.5,19,3,6,4,18.63,3.92,2.94,2021
Barclay,neighborhood,1131,10.52,119,906431.08,1836.91,60000,27,3,12,11,22.69,9.24,2.52,2021
Barre Circle,neighborhood,161,7.45,12,67666.5,4033.2799999999997,175150,0,1,4,4,0,33.33,8.33,2021
Bayview,neighborhood,938,3.73,35,88034.37,2023.82,87300,1,0,9,9,2.86,25.71,0,2021
Beechfield,neighborhood,1354,5.17,70,543735.64,2498.6549999999997,109100,6,17,32,31,8.57,44.29,24.29,2021
Belair-Edison,neighborhood,6346,7.56,480,3442908.06,2189.06,85550,64,22,116,114,13.33,23.75,4.58,2021
Belair-Parkside,neighborhood,174,5.75,10,34793.51,2650.5299999999997,93200,1,0,2,2,10,20,0,2021
Bellona-Gittings,neighborhood,248,1.21,3,21594.36,4587.65,392300,0,0,2,2,0,66.67,0,2021
Belvedere,neighborhood,343,4.37,15,45659.05,2377.4,111067,1,2,8,8,6.67,53.33,13.33,2021
Berea,neighborhood,1762,16.35,288,5896692.14,2226.26,31000,75,34,59,56,26.04,19.44,11.81,2021
Better Waverly,neighborhood,1146,14.05,161,5821161.39,2506.76,37500,41,38,23,21,25.47,13.04,23.6,2021
Beverly Hills,neighborhood,321,4.67,15,40148.17,2560,145333,0,1,8,8,0,53.33,6.67,2021
Biddle Street,neighborhood,684,15.79,108,2009288.08,1887.155,19000,31,9,16,15,28.7,13.89,8.33,2021
Blythewood,neighborhood,12,16.67,2,21188.2,10594.1,8242650,0,0,0,0,0,0,0,2021
Bolton Hill,neighborhood,1059,5.85,62,258879.6,1166.23,310250,1,1,23,23,1.61,37.1,1.61,2021
Boyd-Booth,neighborhood,504,24.4,123,8503309.67,32744.49,3000,58,39,7,6,47.15,4.88,31.71,2021
Brewers Hill,neighborhood,848,3.07,26,82470.58,3598.685,205400,0,1,9,9,0,34.62,3.85,2021
Bridgeview/Greenlawn,neighborhood,734,12.4,91,3490232.71,1860,30000,22,9,25,24,24.18,26.37,9.89,2021
Broadway East,neighborhood,3846,21.4,823,40834539.97,6856.81,5000,334,213,37,33,40.58,4.01,25.88,2021
Broening Manor,neighborhood,669,6.28,42,148774.61,2289.6099999999997,87483.5,3,1,9,9,7.14,21.43,2.38,2021
Brooklyn,neighborhood,3158,10.83,342,4503669.37,1355.61,50100,73,46,68,64,21.35,18.71,13.45,2021
Burleith-Leighton,neighborhood,359,13.37,48,1092686,2611.635,95800,5,1,17,17,10.42,35.42,2.08,2021
Butcher's Hill,neighborhood,844,4.03,34,164014.26,3405.145,234050,2,3,13,13,5.88,38.24,8.82,2021
Callaway-Garrison,neighborhood,552,10.14,56,743937.78,3179.7250000000004,138100,10,4,15,15,17.86,26.79,7.14,2021
Cameron Village,neighborhood,549,6.38,35,62650.7,1966.28,94400,2,4,19,19,5.71,54.29,11.43,2021
Canton,neighborhood,6428,3.06,197,851881.45,3230.03,228300,6,10,60,59,3.05,29.95,5.08,2021
Canton Industrial Area,neighborhood,376,26.86,101,2235899.71,1064.58,40000,0,73,0,0,0,0,72.28,2021
CARE,neighborhood,892,8.07,72,455680.05,1683.5900000000001,96217,13,4,8,8,18.06,11.11,5.56,2021
Carroll - Camden Industrial Area,neighborhood,178,5.62,10,168384.52,2529.62,1123000,0,1,0,0,0,0,10,2021
Carroll Park,neighborhood,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Carroll-South Hilton,neighborhood,726,16.67,121,4060013.65,1732.28,46000,30,25,21,20,24.79,16.53,20.66,2021
Carrollton Ridge,neighborhood,2294,26.63,611,26158086.56,2211.54,9800,313,93,27,15,51.23,2.45,15.22,2021
Cedarcroft,neighborhood,241,1.66,4,20473.58,4541.83,343916.5,0,0,3,3,0,75,0,2021
Cedmont,neighborhood,1075,6.33,68,340441.13,2530.88,140150,7,7,19,18,10.29,26.47,10.29,2021
Cedonia,neighborhood,900,4.11,37,102291.9,2657.15,121867,2,0,22,22,5.41,59.46,0,2021
Central Forest Park,neighborhood,319,13.48,43,1854790.08,3764.66,154767,11,7,10,10,25.58,23.26,16.28,2021
Central Park Heights,neighborhood,2836,12.13,344,7142504.64,1550.955,25000,141,18,38,34,40.99,9.88,5.23,2021
Charles North,neighborhood,351,15.67,55,442939.72000000003,2260,224900,4,3,2,1,7.27,1.82,5.45,2021
Charles Village,neighborhood,1511,7.61,115,314861.39,1048.39,228033,5,0,19,19,4.35,16.52,0,2021
Cherry Hill,neighborhood,1231,12.67,156,2486790.18,1916.8600000000001,36000,38,13,38,32,24.36,20.51,8.33,2021
Cheswolde,neighborhood,1417,2.68,38,657024.29,3599.965,120266.5,0,12,18,18,0,47.37,31.58,2021
Chinquapin Park,neighborhood,563,6.22,35,115156.3,2868.23,131633,2,1,23,23,5.71,65.71,2.86,2021
Clifton Park,neighborhood,33,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Coldspring,neighborhood,644,1.71,11,244892.13999999998,2930.17,111600,0,1,6,6,0,54.55,9.09,2021
Coldstream Homestead Montebello,neighborhood,3104,13.21,410,8134688.81,1218.65,21333,140,38,59,57,34.15,13.9,9.27,2021
Concerned Citizens Of Forest Park,neighborhood,464,17.46,81,2084400.15,3143.4,95700,17,15,24,23,20.99,28.4,18.52,2021
Coppin Heights/Ash-Co-East,neighborhood,1303,15.73,205,5183777.92,1056.34,23000,84,13,24,24,40.98,11.71,6.34,2021
Cross Country,neighborhood,1309,3.59,47,430416.23,1741.3,79000,0,4,24,24,0,51.06,8.51,2021
Cross Keys,neighborhood,811,1.48,12,25599.35,1523.8400000000001,129233.5,0,0,9,9,0,75,0,2021
Curtis Bay,neighborhood,1719,11.05,190,2866108.06,1066.1999999999998,30000,57,27,19,15,30,7.89,14.21,2021
Curtis Bay Industrial Area,neighborhood,28,10.71,3,703458.92,8662.96,194100,0,0,0,0,0,0,0,2021
Cylburn,neighborhood,699,8.73,61,498055.72,2230.07,94767,11,1,26,25,18.03,40.98,1.64,2021
Darley Park,neighborhood,532,17.48,93,1253153.14,952.88,17000,41,2,8,8,44.09,8.6,2.15,2021
